Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,surge,heave,pitch
0.528001,-0.014135,-0.015895,-0.008145,-0.016263,-0.016381,-0.016473,-0.016755,-0.011277,-0.015472,-0.003474,-0.016432,-0.016122,-0.012951,-0.016548,-0.016337,-0.000123,0.000184,0.37255871
0.536053,-0.014098,-0.015996,-0.008033,-0.016464,-0.016597,-0.016755,-0.017021,-0.01119,-0.015494,-0.003358,-0.016683,-0.016288,-0.012888,-0.016835,-0.016546,-0.000248,0.000181,0.37850512
0.544048,-0.014192,-0.01619,-0.007933,-0.016717,-0.016885,-0.016962,-0.017185,-0.011181,-0.015668,-0.003224,-0.016936,-0.016501,-0.012938,-0.017028,-0.016828,-0.000293,0.00019,0.39087486
0.552043,-0.014035,-0.016045,-0.00759,-0.016479,-0.016612,-0.016654,-0.016831,-0.0109,-0.015542,-0.002985,-0.016654,-0.016315,-0.01273,-0.016709,-0.016561,-0.000186,0.000191,0.39822968
0.560073,-0.013828,-0.015891,-0.007354,-0.016325,-0.016382,-0.016476,-0.016661,-0.010663,-0.015384,-0.0028,-0.016423,-0.016174,-0.012499,-0.016566,-0.016364,-0.0000498,0.000208,0.41424692
0.568064,-0.013601,-0.015736,-0.007127,-0.016274,-0.016436,-0.016524,-0.016769,-0.010436,-0.015184,-0.002599,-0.016482,-0.016066,-0.012269,-0.016645,-0.016371,-0.0000165,0.000202,0.41952572
0.576064,-0.013533,-0.015759,-0.006786,-0.016356,-0.01658,-0.016741,-0.016887,-0.010181,-0.015183,-0.002347,-0.016677,-0.016118,-0.012118,-0.016828,-0.016484,-0.0000673,0.000198,0.42677686
0.58407,-0.013413,-0.015849,-0.006469,-0.016422,-0.016607,-0.01677,-0.016864,-0.00992,-0.015218,-0.002109,-0.016688,-0.016204,-0.011925,-0.016862,-0.016532,-0.0000573,0.000203,0.4378024
0.59203,-0.013025,-0.01548,-0.006118,-0.016062,-0.016185,-0.016228,-0.016369,-0.009549,-0.014842,-0.001849,-0.016204,-0.015847,-0.011541,-0.016334,-0.016147,-0.0000521,0.000199,0.44469921
0.600072,-0.01268,-0.015074,-0.005701,-0.015689,-0.015845,-0.015934,-0.016052,-0.009155,-0.014471,-0.001548,-0.01589,-0.015451,-0.011178,-0.016056,-0.015786,0.0000456,0.000221,0.46541811
0.608072,-0.012217,-0.014728,-0.005196,-0.015349,-0.015582,-0.015815,-0.01589,-0.00862,-0.01408,-0.001225,-0.015717,-0.015116,-0.010672,-0.015942,-0.015471,0.000152,0.0002,0.46322631
0.616062,-0.011924,-0.014657,-0.00472,-0.015364,-0.015601,-0.015781,-0.015856,-0.008193,-0.013935,-0.000889,-0.015688,-0.01509,-0.01031,-0.015925,-0.015506,0.000113,0.000195,0.47141659
0.624013,-0.011611,-0.014464,-0.004283,-0.015237,-0.015453,-0.015547,-0.015597,-0.007785,-0.013697,-0.000562,-0.015493,-0.01494,-0.009949,-0.015676,-0.01538,0.000078,0.000209,0.48911148
0.63206,-0.011033,-0.013855,-0.003749,-0.014562,-0.014771,-0.014923,-0.014905,-0.007195,-0.013114,-0.000222,-0.014861,-0.014299,-0.009356,-0.015033,-0.014689,0.000111,0.000205,0.49682937
0.640012,-0.010459,-0.01328,-0.003123,-0.013991,-0.014235,-0.014451,-0.014487,-0.006568,-0.012548,0.000186,-0.01435,-0.013726,-0.008759,-0.014621,-0.01413,0.000186,0.000208,0.50909945
0.648038,-0.00972,-0.012708,-0.002442,-0.013518,-0.013794,-0.013991,-0.014045,-0.005828,-0.011901,0.000622,-0.013891,-0.013209,-0.00801,-0.014176,-0.013684,0.00023,0.000196,0.51373562
0.65601,-0.009202,-0.012415,-0.00179,-0.0133,-0.013585,-0.01377,-0.013714,-0.005161,-0.011545,0.001037,-0.01369,-0.012961,-0.007404,-0.013909,-0.013475,0.000266,0.000201,0.52713397
0.664004,-0.008651,-0.011895,-0.001148,-0.012794,-0.013092,-0.013297,-0.013228,-0.004518,-0.011017,0.001458,-0.01321,-0.012451,-0.00681,-0.013436,-0.012974,0.000281,0.000202,0.53774214
0.672043,-0.007857,-0.0111,-0.000483,-0.011964,-0.012259,-0.012466,-0.01245,-0.00378,-0.010217,0.001883,-0.01237,-0.011641,-0.006038,-0.01264,-0.01214,0.000211,0.000196,0.54533124
0.680015,-0.007006,-0.010329,0.000337,-0.011226,-0.011539,-0.011795,-0.01178,-0.002888,-0.009432,0.002381,-0.011668,-0.010888,-0.005154,-0.011985,-0.011412,0.000229,0.000212,0.56428919
0.688073,-0.00605,-0.009507,0.00124,-0.010508,-0.010855,-0.01111,-0.011046,-0.001884,-0.008552,0.002911,-0.010992,-0.010123,-0.004159,-0.011274,-0.010719,0.000362,0.000198,0.56586883
0.69605,-0.005291,-0.008952,0.002036,-0.010013,-0.010385,-0.010625,-0.010506,-0.00105,-0.007925,0.003408,-0.010531,-0.009608,-0.003353,-0.010764,-0.010234,0.000426,0.000196,0.57378148
0.704004,-0.004426,-0.008094,0.002829,-0.009151,-0.009538,-0.009811,-0.009737,-0.000178,-0.007066,0.003887,-0.009685,-0.008745,-0.002479,-0.009981,-0.009384,0.000367,0.000209,0.59043797
0.712029,-0.003409,-0.007091,0.003705,-0.008153,-0.008527,-0.008811,-0.008772,0.000823,-0.006064,0.004392,-0.008674,-0.007744,-0.001454,-0.008996,-0.008381,0.000261,0.000208,0.5989708
0.720009,-0.002384,-0.00618,0.004649,-0.007279,-0.007682,-0.008019,-0.00794,0.001865,-0.005107,0.004951,-0.007869,-0.006862,-0.000406,-0.008184,-0.007514,0.000312,0.000216,0.61230196
